"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @neonmusicnow: .@mtallentire0406 Had An Incredible Time At @edsheeran's Show At Wembley Stadium. Read About It Here <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/UnizE…",FALSE,0,,2018-07-11 08:35:55,FALSE,,"1016964288907567105",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mtallentire0406",7,TRUE,FALSE,,
"Tonight I’m doing a show in Göteborg and so is Ed Sheeran .....or is he ? #ullevi  #edsheeran https://t.co/eNc36gqXgK",FALSE,4,,2018-07-11 08:24:40,FALSE,,"1016961457672605696",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TheAlPitcher",0,FALSE,FALSE,,
"RT @die_mutti: Hey hey, habe noch 3 #Tickets für das #EdSheeran-Konzert am 22.07. in der Veltins-Arena #Gelsenkirchen zu verkaufen. Top Plä…",FALSE,0,,2018-07-11 08:18:45,FALSE,,"1016959969697124352",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SerenityACarter",41,TRUE,FALSE,,
"RT @SonyMusicIn: Tell us in those comments!<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+2764><U+FE0F>
<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>: https://t.co/iljJYIW3Aw @george_ezra #Shotgun
.
.
#georgeezra #singer #songwriter #parad…",FALSE,0,,2018-07-11 08:18:42,FALSE,,"1016959957239922689",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ZMpromotions",3,TRUE,FALSE,,
"#nowplaying #edsheeran ~ Ed Sheeran | Shape of You ||| #bbradio #rocks #brandenburg",FALSE,0,,2018-07-11 08:16:24,FALSE,,"1016959377704652800",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"Now playing #EdSheeran - #TheATeam on Total Hits",FALSE,0,,2018-07-11 08:15:50,FALSE,,"1016959234423119872",,"<a href=\"https://www.marci.io\" rel=\"nofollow\">Marci</a>","totalhitsradio",0,FALSE,FALSE,,
"RT @dries_mertens14: Your taste in music is great, but your taste in football even better! <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> #EdSheeran https://t.co/z8z4Gv8wBW",FALSE,0,,2018-07-11 08:05:39,FALSE,,"1016956670851727360",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","davidwon4206",2148,TRUE,FALSE,,
"#ThinkingOutLoud finished us off after #ISeeFire. #EdSheeran #DivideTour #Ullevi #Sweden <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/WiqLsnBJDf",FALSE,0,,2018-07-11 07:52:37,FALSE,,"1016953393473114112",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","AthenaGreyson",0,FALSE,FALSE,,
"So I'm trying to make contact with #garybarlow #edsheeran #ragboneman #shanefilan #michaelbuble #christinaperi… https://t.co/7VUvTAd9I3",FALSE,0,,2018-07-11 07:51:07,TRUE,,"1016953015272689664",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DavidBr37584556",0,FALSE,FALSE,,
"#ISeeFire melted us! #EdSheeran #DivideTour #Ullevi #Sweden https://t.co/QEvR3jHsol",FALSE,0,,2018-07-11 07:49:59,FALSE,,"1016952730550788096",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","AthenaGreyson",0,FALSE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 07:46:34,FALSE,,"1016951870122790912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",24,TRUE,FALSE,,
"#GalwayGirl <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #EdSheeran #DivideTour  #Ullevi #Sweden @ Ullevi https://t.co/4K9BM6qcCf",FALSE,0,,2018-07-11 07:46:31,FALSE,,"1016951855971229696",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","AthenaGreyson",0,FALSE,FALSE,"11.98722222","57.70583333"
"RT @die_mutti: Hey hey, habe noch 3 #Tickets für das #EdSheeran-Konzert am 22.07. in der Veltins-Arena #Gelsenkirchen zu verkaufen. Top Plä…",FALSE,0,,2018-07-11 07:44:40,FALSE,,"1016951392043438081",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","miss_tarantina",41,TRUE,FALSE,,
