"x"
"1" "aamirkhan deepikapadukone eminem bbcworld imvkohli davidguetta ihrithik potus avrillavigne natgeo…"
"2" "aamirkhan deepikapadukone eminem bbcworld imvkohli davidguetta ihrithik potus avrillavigne natgeo…"
"3" "tgo india go imvkohli on the crease indiavsengland"
"4" "series wrapup today itself will be the best gift for the coolest brain ever happybihdaymsdhoni msdhoni…"
"5" "hi i am jigar vikhonayou r very good cricketer my favorite just keep on playing like this …"
"6" "kl atin place of pujara in england in tests aswell on basis of current fo…"
"7" "aamirkhan deepikapadukone eminem bbcworld imvkohli davidguetta ihrithik potus avrillavigne natgeo…"
"8" "brilliant inning bynd congrats to teamindia nd over proud captainnd best of luck for…"
"9" "aicle pressure on england india to play fearless cricketimvkohli"
"10" "go teamindia just conqur in englandwe can do itvirat kohli nd men imvkohli viratkohli <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>"
"11" "rtkeep bowing cheteshwar and keep cheering aggressive captaincy of imvkohli thats team incredible for u"
"12" "good luck virat kohli
a difficult test for kohli to pass
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+270A>imvkohli"
"13" "go virat go imvkohli"
"14" "havent set myself targets want team to play good cricketteamindia captain imvkohli stresses on team goals…"
"15" "what makes imvkohli greatwe asked athersmike markbutcher isaguha robkey amp nknightcricket ahe…"
