"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 08:02:50,FALSE,,"1016955962794631168",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CutTheTreacle",1094,TRUE,FALSE,,
"RT @cnnarabic: <U+0645><U+0631><U+0627><U+0633><U+0644><U+0629> #CNN <U+062A><U+062F><U+062E><U+0644> <U+0625><U+0644><U+0649> <U+0645><U+062C><U+0645><U+0639> <U+0643><U+0647><U+0648><U+0641> <U+0641><U+064A> #<U+062A><U+0627><U+064A><U+0644><U+0627><U+0646><U+062F> <U+0644><U+062A><U+062C><U+0631><U+0628><U+0629> <U+0627><U+0644><U+0635><U+0639><U+0648><U+0628><U+0627><U+062A> <U+0627><U+0644><U+062A><U+064A> <U+0648><U+0627><U+062C><U+0647><U+062A> <U+0645><U+0647><U+0645><U+0629> #<U+0627><U+0646><U+0642><U+0627><U+0630>_<U+0627><U+0637><U+0641><U+0627><U+0644>_<U+0627><U+0644><U+0643><U+0647><U+0641> https://t.co/TGdB8qtW9A https:…",FALSE,0,,2018-07-11 08:02:31,FALSE,,"1016955885015494656",,"<a href=\"http://tapbots.com/tweetbot\" rel=\"nofollow\">Tweetbot for i<U+039F>S</a>","Bu7o0oR",25,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 08:00:41,FALSE,,"1016955420529831936",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","mrsstella15",1094,TRUE,FALSE,,
"RT @ChuckCallesto: Nothing to see here...  Just another headline #CNN won't cover... 

Police: Long Island man charged in sex assault of to…",FALSE,0,,2018-07-11 08:00:16,FALSE,,"1016955317677056001",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Jeanett80176235",874,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:59:53,FALSE,,"1016955221451333635",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Megresistor",1094,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:59:36,FALSE,,"1016955148768120833",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","apexnerd",1094,TRUE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #Reuters #Government #Iraq #bbctrending #BBCnews… https://t.co/efoaEvovwn",FALSE,0,,2018-07-11 07:59:04,TRUE,,"1016955015012012032",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"For Twitter::

#ReformQuotaBD 
#We_Want_Discrimination_Free_Bangladesh
Please #broadcast this #news to know… https://t.co/3s6WqNQLMO",FALSE,0,,2018-07-11 07:58:54,TRUE,,"1016954973345611776",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mahbubhasancu",0,FALSE,FALSE,,
"RT @LadyRedWave: Uh, not just No but HELL NO ffs!
WATCH: #CNN reporter says American women should wear an Islamic veil to show respect and…",FALSE,0,,2018-07-11 07:58:40,FALSE,,"1016954914034118656",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","nda_tx",467,TRUE,FALSE,,
"RT @4kmiddlebrook: YES I BEAT the Feds SUING 1 BILLION #WINNING (R) #REALIRONMAN &amp; #WONG #BETAwards2018 @OfficialWonG @MichelleObama @Floyd…",FALSE,0,,2018-07-11 07:58:36,FALSE,,"1016954896325607424",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","tbk7MM1nAIj2wXY",110,TRUE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:58:27,FALSE,,"1016954862502891520",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","orlandoandresm4",65,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:57:26,FALSE,,"1016954605190574080",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","bjeralds",1094,TRUE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:57:25,FALSE,,"1016954602112126981",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","Rparisee",65,TRUE,FALSE,,
"@NancyPelosi #YadaYadaYada. Better pay more time and effort on cleaning up the #shitAndDrugs in your city #Pelosi,… https://t.co/hjUwqnpCq3",FALSE,0,"NancyPelosi",2018-07-11 07:56:59,TRUE,"1016777169018769408","1016954493269880837","15764644","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","goliod22",0,FALSE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:56:48,FALSE,,"1016954446574567424",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nofriggingway",1094,TRUE,FALSE,,
"RT @cnnarabic: <U+0645><U+0631><U+0627><U+0633><U+0644><U+0629> #CNN <U+062A><U+062F><U+062E><U+0644> <U+0625><U+0644><U+0649> <U+0645><U+062C><U+0645><U+0639> <U+0643><U+0647><U+0648><U+0641> <U+0641><U+064A> #<U+062A><U+0627><U+064A><U+0644><U+0627><U+0646><U+062F> <U+0644><U+062A><U+062C><U+0631><U+0628><U+0629> <U+0627><U+0644><U+0635><U+0639><U+0648><U+0628><U+0627><U+062A> <U+0627><U+0644><U+062A><U+064A> <U+0648><U+0627><U+062C><U+0647><U+062A> <U+0645><U+0647><U+0645><U+0629> #<U+0627><U+0646><U+0642><U+0627><U+0630>_<U+0627><U+0637><U+0641><U+0627><U+0644>_<U+0627><U+0644><U+0643><U+0647><U+0641> https://t.co/TGdB8qtW9A https:…",FALSE,0,,2018-07-11 07:55:07,FALSE,,"1016954020613820416",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","6roC2rfSRK9GAc7",25,TRUE,FALSE,,
"RT @cnnarabic: <U+0645><U+0631><U+0627><U+0633><U+0644><U+0629> #CNN <U+062A><U+062F><U+062E><U+0644> <U+0625><U+0644><U+0649> <U+0645><U+062C><U+0645><U+0639> <U+0643><U+0647><U+0648><U+0641> <U+0641><U+064A> #<U+062A><U+0627><U+064A><U+0644><U+0627><U+0646><U+062F> <U+0644><U+062A><U+062C><U+0631><U+0628><U+0629> <U+0627><U+0644><U+0635><U+0639><U+0648><U+0628><U+0627><U+062A> <U+0627><U+0644><U+062A><U+064A> <U+0648><U+0627><U+062C><U+0647><U+062A> <U+0645><U+0647><U+0645><U+0629> #<U+0627><U+0646><U+0642><U+0627><U+0630>_<U+0627><U+0637><U+0641><U+0627><U+0644>_<U+0627><U+0644><U+0643><U+0647><U+0641> https://t.co/TGdB8qtW9A https:…",FALSE,0,,2018-07-11 07:54:12,FALSE,,"1016953790791147520",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","eljaFee",25,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:54:12,FALSE,,"1016953789994229760",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","KittensMotherof",1094,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:53:20,FALSE,,"1016953574780166144",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AlfredReal",1094,TRUE,FALSE,,
"RT @samijs1: Dont Come2 Our Country Illegally!! #CNN #MSNBC #ABC #NBC #CBS #HLN #CNBC #MSM #News #Media #WSJ #CNNSOTU #USAToday #Today #NYT…",FALSE,0,,2018-07-11 07:51:42,FALSE,,"1016953160575807488",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JerryJPurchase",65,TRUE,FALSE,,
"@AC360 And what spin will you put on it if Kavavaugh rules against POTUS? Maybe it's to soon for you to think about… https://t.co/rO8JDkM3kz",FALSE,0,"AC360",2018-07-11 07:51:15,TRUE,"1016854490803245060","1016953049921871872","227837742","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MAHadfield1",0,FALSE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:51:10,FALSE,,"1016953029596045313",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jmpepp",1094,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:50:44,FALSE,,"1016952919504060416",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abracadabraNY",1094,TRUE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:48:00,FALSE,,"1016952232632340480",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ladybuck44",1094,TRUE,FALSE,,
"I just watched @realDonaldTrump bitch slap these NATO soy boys <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>
Some subversive ShitLIB on #CNN was trying to spi… https://t.co/AWRRwIuVy2",FALSE,0,,2018-07-11 07:47:18,TRUE,,"1016952054814736386",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Parlaypro",0,FALSE,FALSE,,
"RT @Emolclause: #BREAKING:Now.@maddow reports that during his confirmation hearings for the DC Circuit Court #BrettKavanaugh LIED TO CONGRE…",FALSE,0,,2018-07-11 07:46:36,FALSE,,"1016951877294911488",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","klgillum",1094,TRUE,FALSE,,
"RT @cnnarabic: <U+0645><U+0631><U+0627><U+0633><U+0644><U+0629> #CNN <U+062A><U+062F><U+062E><U+0644> <U+0625><U+0644><U+0649> <U+0645><U+062C><U+0645><U+0639> <U+0643><U+0647><U+0648><U+0641> <U+0641><U+064A> #<U+062A><U+0627><U+064A><U+0644><U+0627><U+0646><U+062F> <U+0644><U+062A><U+062C><U+0631><U+0628><U+0629> <U+0627><U+0644><U+0635><U+0639><U+0648><U+0628><U+0627><U+062A> <U+0627><U+0644><U+062A><U+064A> <U+0648><U+0627><U+062C><U+0647><U+062A> <U+0645><U+0647><U+0645><U+0629> #<U+0627><U+0646><U+0642><U+0627><U+0630>_<U+0627><U+0637><U+0641><U+0627><U+0644>_<U+0627><U+0644><U+0643><U+0647><U+0641> https://t.co/TGdB8qtW9A https:…",FALSE,0,,2018-07-11 07:45:44,FALSE,,"1016951660084695040",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ali28472183",25,TRUE,FALSE,,
